name,length,width,height
7 Wonders Architects,300,295,95
Aeon's End,295,295,75
Aeon's End - Guerre Eternelle,295,295,75
Aeon's End - Une Ere Nouvelle,295,295,75
Aeterna,300,300,70
Almost Innocent,300,300,70
Altay,295,295,70
Andor : Le Dernier Espoir,300,300,80
Andor : Le Froid Eternel,300,300,80
Andor : Voyage vers le Nord,300,300,80
Andor Junior,300,300,70
Art Gallery,295,295,70
Australie (Ext. Nucleum),300,300,40
Barony : Edition Royale Deluxe,295,295,75
Biathlon Crystal Globe - Annecy Le Grand-Bornand,295,295,70
Biathlon Crystal Globe - Edition World Champions,295,295,70
Biome + Mini-Extension incluse,300,300,75
Bullet,295,295,70
Bunny Kingdom,300,300,80
Cafe de Fleur : L'Art de la Marqueterie,300,300,70
Camels & Nomads (Ext. Marrakesh),300,300,70
Captain Sonar - 2nde Edition,295,295,75
Catan,295,295,75
Catan : Energies,295,295,75
Catan Junior,295,295,75
Celestia Big Box,300,300,70
Challengers,300,300,70
Chambres a Louer - Extension Tavernes de la Vallee Profonde,295,295,55
Circadiens - Ordre du Chaos,300,300,90
Cities Skylines : Le Jeu de Plateau,295,295,70
Civolution,300,300,90
Clank! Catacombes,300,300,80
Coexist,295,295,75
Couronne de Cendres,300,300,70
Critter Kitchen,300,300,70
Dabba Walla,295,295,60
Dames Chinoises en Bois - 29cm,295,295,40
Darwin's Journey,300,300,50
Daybreak,300,300,80
Dead Cells - Le Jeu de Societe Rogue-Lite,300,300,120
Descent : Legendes des Tenebres,300,300,260
Detective - Jeu d'Enquete Moderne,295,295,75
Dodo,295,295,69
Dodo Ahoi !,295,295,80
Dominant Species : Marine,300,300,70
Dominion (Seconde Edition),295,295,75
Dorfromantik : Sakura,295,295,70
Dragonniers,295,295,50
Dune - Secrets Enfouis,300,300,70
Dune Imperium : Insurrection,300,300,80
Dungeonology : L'Expedition,295,295,70
Earth,300,300,75
Echoes of Time,300,300,70
Equipment Pack (Ext. Memoire 44),295,295,70
Evenfall,300,300,70
Everdell (2e Ed.),300,300,70
Everdell - Edition Essentielle,300,300,70
Evolution,300,300,80
Expeditions - Autour du Monde,300,300,50
Farshore,300,300,70
Fate: Les Defenseurs de Grimheim,295,295,80
Finspan,295,295,70
Fireland (Ext. Darwin's Journey),300,300,30
Fondateurs de Teotihuacan,300,300,80
France & Old West (Ext. Les Aventuriers du Rail),300,300,50
Fromage,300,300,80
Future Energy,300,300,60
Gods of Rome,300,300,70
Graffiti,300,300,80
Grands Maitres (Ext. La Baie des Marchands),300,300,120
Great Western Trail (2nde Edition),295,295,70
Great Western Trail : Argentine,295,295,70
Heat,295,295,110
Heavy Rain (Ext. Heat),295,295,70
Hegemony,300,300,100
Iberia & Coree du Sud (Ext. Les Aventuriers du Rail),300,300,35
In The Sky - Extension Bunny Kingdom,295,295,40
Incantibus,295,295,55
Ironwood,295,295,60
Ishtar : Les Jardins de Babylone,295,295,75
Istanbul Big Box,295,295,85
Jamaica,300,300,80
Jeu d'Echecs Complet 30cm,300,300,40
Junta,295,295,75
Khora : L'Apogee d'un Empire,295,295,80
Kids Express,295,295,70
Kutna Hora : La Cite De L'argent,295,295,70
Kyoto No Neko,295,295,75
L'Ile au Tresor,295,295,70
L'Ile des Chats,295,295,100
L'Intrigue (Ext. Dominion Seconde Edition),300,300,70
La Cathedrale d'Orleans,300,300,70
La Chute du Roi de la Montagne,300,300,70
La Citta,300,300,80
La Clef du Royaume,300,300,70
La Colline aux Feux Follets,295,295,70
La Course vers El Dorado,300,300,70
La Guilde des Expeditions Marchandes,295,295,70
La Maison des Souris,300,300,70
La Ruee vers l'Argent (Ext. Tiletum),295,295,45
La Traque,300,300,90
La Traque de l'Anneau,295,295,75
Lacrimosa,300,300,80
Lands of Galzyr + Pack Errata,300,300,90
Le Clan des Deux (Ext. The Mandalorian : Adventures),295,295,50
Le Dilemme Du Roi,295,295,100
Le Grand Prix de Belcastel,300,300,80
Le Petit Fantome,295,295,70
Les Alchimistes (Ext. Charlatans de Belcastel),295,295,55
Les Aventuriers du Rail - Autour du Monde,300,300,100
Les Aventuriers du Rail - Europe,300,300,90
Les Aventuriers du Rail - USA (Ed. 2025),300,300,80
Les Glorieuses Guildes de Buttonville,295,295,70
Les Petits Alchimistes,300,300,70
Les Sorcieres s'en Melent (Ext. Charlatans de Belcastel),295,295,55
Limit,295,295,70
Lupos,300,300,70
Marins (Ext. Catan),300,300,70
Marrakesh - Essential Edition,300,300,70
Mass Effect : Le Jeu de Plateau,295,295,60
Memoire 44 (Ed. 2025),295,295,100
Mer de Sable (Ext. Destinies),295,295,80
Mille Fiori,295,295,70
Minuit Meurtre en Mer (2nde Edition - Integrale) + Erratum C01,300,300,70
Mission : Planete Rouge (3eme Edition 2025) + Errata FR,300,295,75
Mistwood (Ext. Everdell),295,295,60
My City,300,300,100
Mystery House,300,300,75
Obsession,300,300,90
Orichalque,295,295,70
Pays-Bas (Ext. Les Aventuriers du Rail),300,300,50
Pearlbrook (Ext. Everdell) - Seconde edition,295,295,60
Photosynthesis,300,300,90
Pictures,300,300,75
Pique Plume,300,300,80
Pirates & Decouvreurs (Ext. Catan),300,300,70
Planet,300,300,80
Potion Explosion,300,300,80
Powerline,300,300,60
Profondeurs Insondables (Ext. Horreur a Arkham 3eme ed.),300,300,70
Rajas of The Ganges,300,300,75
Rallyman Dirt : Monte-Carlo,300,300,50
Ratapolis,300,300,70
Rattus Big Box,300,300,70
Reflets d'Acide - Edition 2023,300,300,80
Ricochet Robots,300,300,70
Robinson Crusoe : Aventures sur l'Ile Maudite,300,300,70
Rock Hard 1977,295,295,75
Rocketmen,300,300,80
RoundForest,295,295,70
Sagrada Artisans,300,300,120
Saltfjord,300,300,70
Sankore : La Fierte de Mansa Musa - VF,300,300,70
Seasons,300,300,80
Shut The Box 10 en bois avec 2 des,300,295,40
Sine Tempore,295,295,145
Skellige (Ext. The Witcher : L'Ancien Monde),300,300,60
Skytear Horde,300,300,70
Smallworld,295,295,75
Smallworld : Power Pack n1,300,300,40
Smallworld Underground,295,295,70
Spark Riders 3000 - Edition Rider,300,300,70
Sparks,295,295,60
Spirecrest (Ext. Everdell),295,295,60
Stamp Swap,300,300,70
Star Wars : Bordure Exterieure,295,295,70
Stress Botics,300,300,90
Stroganov,295,295,70
Summoner Wars - Starter Set,300,300,80
T.I.M.E Stories,300,300,80
Takenoko Oyako,295,295,60
Talisman - 4eme Edition,300,300,75
Terminus,300,300,80
The Dark Quarter,295,295,75
The Royal Society Of Archeology,295,295,75
The Smashers : Coach Battler,300,300,70
The Uprising (Ext. Maracaibo),295,295,48
The Witcher : L'Ancien Monde,300,300,100
Thebai,295,295,75
Thesauros,300,300,75
Tianxia,295,295,75
Trekking the World,295,295,70
Trickerion - Legende de L'Illusion,295,295,68
Tunnel Vision (Ext. Heat),295,295,35
Ubongo,300,300,60
Une Colonne de Feu,300,300,80
Unmatched Aventures - Chroniques Inouies (+cartes foil exclusives 1ere edition inclues),295,295,70
Upstairs Downstairs (Ext. Obsession),300,300,40
V-Sabotage,300,300,70
Verbillico Excellence,300,300,60
Video Game Champion,295,295,80
Vienna Connection,300,300,80
Villes & Chevaliers (Ext. Catan),300,300,70
Wild - Serengeti,295,295,75
World Wonders,300,300,80
Ydrody,295,295,45
Yinsh,300,300,75
Yokohama,300,300,80
Zertz,300,300,70
Zombicide : White Death,300,300,100
