name,length,width,height
3 Secondes ! (Pas Plus),170,50,30
99 Ninjas,145,110,20
Alice is Missing,165,139,40
Ancient Knowledge,280,190,90
Arkade,290,190,50
Beyond,130,130,40
Bicycle - Disney La Reine des Neiges - Jeu de 54 cartes,92,65,18
Booster Periples Chasseurs - Hero Realms,150,80,10
Break In : Chichen Itza,255,230,120
Calie & Kasskoo - Mission Evasion,280,190,10
Catan : Energies,295,295,75
Celestia : Coup de Pouce,90,60,20
Chroni : Histoire Junior,150,105,25
Chute Libre,240,240,60
Class Time des Chiffres (110 cartes),120,90,20
Cocoons,220,220,55
Colonies (Ext. Terraforming Mars),230,190,40
Crystalla,270,270,50
Descent : Les Liens du Sang,280,220,10
Diamant,205,205,60
Dobble Kids,170,120,30
Domino Competition,180,70,70
Donjons & Siphons (For The Story),185,115,35
Echecs a tiroir Magnetique 30cm,340,340,55
Echoes - Le Titanic,130,100,30
Etherfields : Protege-Cartes 1,310,310,120
Evolution : Le Nouveau Monde,260,260,30
Exit : La Station Polaire,180,130,40
Exit Kids : La Foire aux Frissons,180,130,40
Fate Flip - Le Naufrage,130,80,30
Footime,300,200,45
Fullifant,230,150,50
Graffiti,300,300,80
Happy Hour,110,110,40
Heritage (Ext. Ancient Knowledge),185,90,45
High Risk,150,100,45
Imagides,120,100,30
IQ Digits,145,145,30
It's a Wonderful World,290,290,70
Jeu de 54 Cartes - Ducale Dos Bleu ou Rouge,90,60,20
Kabuto Sumo,270,170,50
Kaoki Nature,110,110,40
Keblo,160,115,30
Kubb,225,225,105
La Batarde,170,120,35
La Course vers El Dorado,300,300,70
La Fin des Artichauts,150,110,30
Labyrinthe 3D,370,270,55
Le Bal Masque des Coccinelles,250,250,70
Le Chemin De La Maison,205,205,50
Le Jeu du Loup,270,270,85
Le Mother Phoquer,150,100,70
Le Rallye des Vers de Terre,290,290,70
Les Amants Maudits (Ext. Kronologic Paris 1920),105,85,15
Les Intendants de la Vallee (Ext. Earthborne Rangers),110,110,90
Les Potions d'Azerlande,290,290,60
Magic Maze Kids,310,310,75
Marche Vege,135,95,30
Mega Jackpot,150,105,30
Mon Puzzle Aventure : Terre Ocre,260,210,60
Now!,150,100,40
Oriflamme,190,130,40
Origine,200,200,35
Ouste Les Monstres,200,200,50
Perplexus Mandalorien,260,230,200
Presumee Coupable (Ext. Pagan : Le Destin de Roanoke),125,65,15
Puzzle Phosphoresent - Ice Spirit (1000P),290,130,90
Puzzle Universe - It's Smashin' Time (1000P),285,130,85
Puzzle Universe - Little Red House (1000P),285,130,85
Puzzle Universe - Steeples (500P),285,130,85
Questions de Merde,155,125,50
Rummy Classic,270,190,70
Schotten Totten 2,150,100,45
Score 5,120,80,40
Scotland Yard - Sherlock Holmes,370,270,55
Secrets Enfouis (Ext. Aeon's End),170,130,30
Set !,160,120,30
Shadow Blades,180,130,40
Sherlock - Q System : Dernier Appel,90,70,20
Shut The Box 10 en bois 4 joueurs,305,305,45
Smash Up - Tournee Mondiale : Choc des Cultures,195,140,45
Sonic Super Teams,250,250,60
Terre Fracturee (Ext. Spirit Island),295,170,55
Terres de Loups,180,130,35
The Game - Edition Haute en Couleur,130,100,20
Time Division,255,185,55
Train Express,130,90,25
Treetopia,150,110,40
Trek 12 - Amazonie,200,160,70
TTMC - Paris 2024,200,200,90
Unlock! 2 : Mystery Adventures,275,215,65
Unmatched - Houdini Vs Genie,240,150,70
Upstairs Downstairs (Ext. Obsession),300,300,40
Wondrous Creatures,300,250,70
Woodland Wizards,140,100,35
Wyrmspan,300,300,70
X-Wing 2.0 : Siege de Coruscant,180,120,50
Xylo,110,75,25
Yinsh,300,300,75
Zik,125,125,40
